name,team,position,injury_status,injured,total_gp,total_gs,total_min,total_mpg,total_fpts,total_favg,l30_gp,l30_gs,l30_min,l30_mpg,l30_fpts,l30_favg,l15_gp,l15_gs,l15_min,l15_mpg,l15_fpts,l15_favg,l7_gp,l7_gs,l7_min,l7_mpg,l7_fpts,l7_favg,total_gp_ratio,l30_gp_ratio,l15_gp_ratio,l7_gp_ratio,total_gs_ratio,l30_gs_ratio,l15_gs_ratio,l7_gs_ratio,total_min_ratio,l30_min_ratio,l15_min_ratio,l7_min_ratio,total_mpg_ratio,l30_mpg_ratio,l15_mpg_ratio,l7_mpg_ratio,total_fpts_ratio,l30_fpts_ratio,l15_fpts_ratio,l7_fpts_ratio,total_favg_ratio,l30_favg_ratio,l15_favg_ratio,l7_favg_ratio
Darren Collison,LAL,PG,ACTIVE,False,3,0,37,12,14,4,3,0,37,12,14,4,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.11,0.0,0.0,0.33,0.33,0.0,0.0,0.02,0.05,0.0,0.0,0.15,0.12,0.0,0.0
Nate Darling,CHA,SG,OUT,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yves Pons,MEM,SG,ACTIVE,False,5,0,20,4,14,2,1,0,7,7,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.0,0.11,0.19,0.0,0.0,0.02,0.01,0.0,0.0,0.07,0.12,0.0,0.0
Zylan Cheatham,UTA,SF,ACTIVE,False,1,0,5,5,0,0,1,0,5,5,0,0,1,0,5,5,0,0,0,0,0,0,0,0,0.02,0.06,0.12,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.03,0.0,0.14,0.14,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cat Barber,ATL,PG,ACTIVE,False,3,0,13,4,9,3,3,0,13,4,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.04,0.0,0.0,0.11,0.11,0.0,0.0,0.01,0.03,0.0,0.0,0.11,0.09,0.0,0.0
Jordan Schakel,WAS,SF,ACTIVE,False,2,0,14,7,7,3,2,0,14,7,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.04,0.0,0.0,0.19,0.19,0.0,0.0,0.01,0.02,0.0,0.0,0.11,0.09,0.0,0.0
Moses Wright,LAC,PF,OUT,True,1,0,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.03,0.0,0.0
Eugene Omoruyi,DAL,SF,OUT,True,4,0,18,4,26,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.22,0.0,0.0,0.0
Sean McDermott,MEM,SG,OUT,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jordan Goodwin,WAS,SG,ACTIVE,False,2,0,6,3,1,0,2,0,6,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.0,0.0,0.08,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
